base,target,kind,a_idx,a_size,b_idx,b_size
US,JP,changed-same-index,0,458808,0,458808
US,JP,changed-same-index,1,551532,1,553144
US,JP,changed-same-index,2,458808,2,458808
US,JP,changed-same-index,3,517820,3,517820
US,JP,changed-same-index,4,458808,4,458808
US,JP,changed-same-index,5,439172,5,439172
US,JP,changed-same-index,6,458808,6,458808
US,JP,changed-same-index,7,576392,7,578004
US,JP,changed-same-index,8,458808,8,458808
US,JP,changed-same-index,9,699128,9,700740
US,JP,changed-same-index,10,458808,10,458808
US,JP,changed-same-index,11,699916,11,699916
US,JP,changed-same-index,12,458808,12,458808
US,JP,changed-same-index,13,393668,13,393668
US,JP,changed-same-index,14,458808,14,458808
US,JP,changed-same-index,15,718940,15,720552
US,JP,changed-same-index,16,458808,16,458808
US,JP,changed-same-index,17,716656,17,718268
US,JP,changed-same-index,18,458808,18,458808
US,JP,changed-same-index,19,692964,19,692964
US,JP,changed-same-index,20,458808,20,458808
US,JP,changed-same-index,21,470672,21,470672
US,JP,changed-same-index,22,458808,22,458808
US,JP,changed-same-index,23,743072,23,744684
US,JP,changed-same-index,24,458808,24,458808
US,JP,changed-same-index,25,766928,25,768540
US,JP,changed-same-index,26,458808,26,458808
US,JP,changed-same-index,27,753368,27,753368
US,JP,changed-same-index,28,458808,28,458808
US,JP,changed-same-index,29,620764,29,620764
US,JP,changed-same-index,30,458808,30,458808
US,JP,changed-same-index,31,792092,31,793704
US,JP,changed-same-index,32,458808,32,458808
US,JP,changed-same-index,33,726684,33,728296
US,JP,changed-same-index,34,458808,34,458808
US,JP,changed-same-index,35,707740,35,707740
US,JP,changed-same-index,36,458808,36,458808
US,JP,changed-same-index,37,584976,37,584976
US,JP,changed-same-index,38,458808,38,458808
US,JP,changed-same-index,39,763672,39,765284
US,JP,changed-same-index,40,458808,40,458808
US,JP,changed-same-index,41,719768,41,721380
US,JP,changed-same-index,42,458808,42,458808
US,JP,changed-same-index,43,707716,43,707716
US,JP,changed-same-index,44,458808,44,458808
US,JP,changed-same-index,45,678992,45,678992
US,JP,changed-same-index,46,458808,46,458808
US,JP,changed-same-index,47,762240,47,763852
