label,path,size,sha1
JP,BANJ/B320I.EXE,79872,4824de042dd1d7a6
JP,BANJ/BAN320.IKI,46592000,
JP,BIGFILE.BIG,272023552,
PAL,BIGFILE.BIG,299884544,
US,BIGFILE.BIG,270360576,
JP,LAST.BIN,30689280,
PAL,LAST.BIN,5242880,
US,LAST.BIN,10229760,
PAL,SCES_021.05,518144,8321b60434b99252
JP,SCPS_101.18,530432,f2a311527e587562
US,SCUS_944.26,516096,1fd69c9f69890d66
JP,SOUNDS/KART.HWL,12322452,
PAL,SOUNDS/KART.HWL,16692884,
US,SOUNDS/KART.HWL,12248724,
JP,SPYRO2.EXE,352256,25827974ac4221e5
PAL,SPYRO2.EXE,344064,d18eab7a058ea44d
US,SPYRO2.EXE,342016,1bcd426634449d81
PAL,SPYRO2/DEMO2.STR,32251904,
US,SPYRO2/DEMO2.STR,32251904,
JP,SPYRO2/SOURCE.TRD,31457280,
PAL,SPYRO2/SOURCE.TRD,31457280,
US,SPYRO2/SOURCE.TRD,31457280,
JP,SPYRO2/SPEECH.STR,34158592,
JP,SPYRO2/WAD.WAD,10170368,
PAL,SPYRO2/WAD.WAD,7651328,
US,SPYRO2/WAD.WAD,6957056,
JP,SYSTEM.CNF,66,54198d16b176314c
PAL,SYSTEM.CNF,66,f383b70ef4fdd50a
US,SYSTEM.CNF,66,5519a4068834519b
JP,TEST.STR,89718784,
PAL,TEST.STR,43024384,
US,TEST.STR,90601472,
PAL,XA/DCH.XNF,1556,0d74db8cff670559
PAL,XA/DCH/EXTRA/S00.XA,2228224,
PAL,XA/DCH/EXTRA/S01.XA,3801088,
PAL,XA/DCH/EXTRA/S02.XA,12648448,
PAL,XA/DCH/GAME/S00.XA,327680,77e2030ddbc9eb18
PAL,XA/DCH/GAME/S01.XA,393216,ea0a853fad109ca2
PAL,XA/DCH/GAME/S02.XA,458752,c3f10ac2d1af1281
PAL,XA/DCH/GAME/S03.XA,458752,ba161030616b9b49
PAL,XA/DCH/GAME/S04.XA,524288,fe1f8074ffbf855b
PAL,XA/DCH/GAME/S05.XA,589824,39360af7f8c932cb
PAL,XA/DCH/GAME/S06.XA,589824,e60230bad5ab4a16
PAL,XA/DCH/GAME/S07.XA,720896,e723fddca134ae36
PAL,XA/DCH/GAME/S08.XA,6881280,
PAL,XA/ENG.XNF,1556,4d2642657b0e6a60
US,XA/ENG.XNF,1840,12500ff47e66e25b
PAL,XA/ENG/EXTRA/S00.XA,2359296,
US,XA/ENG/EXTRA/S00.XA,1343488,93b36cf878c7166a
PAL,XA/ENG/EXTRA/S01.XA,4128768,
US,XA/ENG/EXTRA/S01.XA,1933312,ff19300d4dadb5e5
PAL,XA/ENG/EXTRA/S02.XA,12648448,
US,XA/ENG/EXTRA/S02.XA,2785280,
US,XA/ENG/EXTRA/S03.XA,3768320,
US,XA/ENG/EXTRA/S04.XA,4718592,
US,XA/ENG/EXTRA/S05.XA,12648448,
PAL,XA/ENG/GAME/S00.XA,393216,13ac1316efeab9d2
US,XA/ENG/GAME/S00.XA,327680,57c687968bf5c20e
PAL,XA/ENG/GAME/S01.XA,458752,d0b0ade0bcc7fa32
US,XA/ENG/GAME/S01.XA,360448,1b8200b2021e23a3
PAL,XA/ENG/GAME/S02.XA,524288,3db0f285040763d6
US,XA/ENG/GAME/S02.XA,393216,f4aefc6191fabc19
PAL,XA/ENG/GAME/S03.XA,589824,b863e0710ab8124b
US,XA/ENG/GAME/S03.XA,425984,58b6545522cada27
PAL,XA/ENG/GAME/S04.XA,589824,50bda11d788391fe
US,XA/ENG/GAME/S04.XA,458752,f4818bf1e9279bea
PAL,XA/ENG/GAME/S05.XA,655360,bffe594d291db847
US,XA/ENG/GAME/S05.XA,458752,71ef4fdb6004dd3c
PAL,XA/ENG/GAME/S06.XA,720896,9633bf18482b4095
US,XA/ENG/GAME/S06.XA,491520,c97fee2a399cb5fa
PAL,XA/ENG/GAME/S07.XA,917504,ad6e67ca85db194a
US,XA/ENG/GAME/S07.XA,491520,96328226c0c1d29e
PAL,XA/ENG/GAME/S08.XA,6946816,
US,XA/ENG/GAME/S08.XA,524288,57fe26da4f422752
US,XA/ENG/GAME/S09.XA,557056,6053f9d295815079
US,XA/ENG/GAME/S10.XA,557056,d0c857efc730c5c8
US,XA/ENG/GAME/S11.XA,589824,2e58980ab58aaf6e
US,XA/ENG/GAME/S12.XA,622592,6c3d15df52580b75
US,XA/ENG/GAME/S13.XA,622592,e209446d24f26d45
US,XA/ENG/GAME/S14.XA,655360,5c1112dd0ad16874
US,XA/ENG/GAME/S15.XA,688128,81a908ba160671fc
US,XA/ENG/GAME/S16.XA,720896,692bdaea3701f49c
US,XA/ENG/GAME/S17.XA,753664,79ff274685b0af85
US,XA/ENG/GAME/S18.XA,851968,71864c321f28ae20
US,XA/ENG/GAME/S19.XA,983040,521ec781a536ab48
US,XA/ENG/GAME/S20.XA,6914048,
PAL,XA/FRN.XNF,1556,5ec362ef590b4712
PAL,XA/FRN/EXTRA/S00.XA,2293760,
PAL,XA/FRN/EXTRA/S01.XA,3932160,
PAL,XA/FRN/EXTRA/S02.XA,12648448,
PAL,XA/FRN/GAME/S00.XA,327680,e7b88b8eb196a8a0
PAL,XA/FRN/GAME/S01.XA,393216,86507e54a6133e4f
PAL,XA/FRN/GAME/S02.XA,458752,4687747f7384a5de
PAL,XA/FRN/GAME/S03.XA,458752,4d4b9aca63d802c2
PAL,XA/FRN/GAME/S04.XA,524288,370b28906f8d80c1
PAL,XA/FRN/GAME/S05.XA,589824,351808bcc9779a26
PAL,XA/FRN/GAME/S06.XA,589824,a35bb8132e7914df
PAL,XA/FRN/GAME/S07.XA,655360,b74b442330776156
PAL,XA/FRN/GAME/S08.XA,6881280,
PAL,XA/GRM.XNF,1556,859bd39af07382ff
PAL,XA/GRM/EXTRA/S00.XA,2293760,
PAL,XA/GRM/EXTRA/S01.XA,3997696,
PAL,XA/GRM/EXTRA/S02.XA,12648448,
PAL,XA/GRM/GAME/S00.XA,393216,68e43f6c6d0c35ea
PAL,XA/GRM/GAME/S01.XA,393216,de957aa14660d4bc
PAL,XA/GRM/GAME/S02.XA,458752,197050bf385eb0eb
PAL,XA/GRM/GAME/S03.XA,524288,0ef9c6d490e84112
PAL,XA/GRM/GAME/S04.XA,589824,24e6de082d5534e5
PAL,XA/GRM/GAME/S05.XA,589824,966b4e08886812b3
PAL,XA/GRM/GAME/S06.XA,655360,da29623ca026689b
PAL,XA/GRM/GAME/S07.XA,786432,285aae109a696851
PAL,XA/GRM/GAME/S08.XA,6881280,
PAL,XA/ITL.XNF,1556,bed121e6072cf55b
PAL,XA/ITL/EXTRA/S00.XA,2228224,
PAL,XA/ITL/EXTRA/S01.XA,3997696,
PAL,XA/ITL/EXTRA/S02.XA,12648448,
PAL,XA/ITL/GAME/S00.XA,327680,124d124702136d7e
PAL,XA/ITL/GAME/S01.XA,393216,55fe866056d7247b
PAL,XA/ITL/GAME/S02.XA,458752,d342388d631786c7
PAL,XA/ITL/GAME/S03.XA,458752,9b2c80f99a45b322
PAL,XA/ITL/GAME/S04.XA,524288,b3c1a24a43fcd616
PAL,XA/ITL/GAME/S05.XA,524288,99ed2f56a7c6ffbc
PAL,XA/ITL/GAME/S06.XA,589824,e4913493adfa9bd8
PAL,XA/ITL/GAME/S07.XA,720896,7f7e81ea52b52e73
PAL,XA/ITL/GAME/S08.XA,6881280,
JP,XA/JPN.XNF,1628,1b00d35188451847
JP,XA/JPN/EXTRA/S00.XA,1671168,13cf31be73f13d6a
JP,XA/JPN/EXTRA/S01.XA,2719744,
JP,XA/JPN/EXTRA/S02.XA,4423680,
JP,XA/JPN/EXTRA/S03.XA,5996544,
JP,XA/JPN/EXTRA/S04.XA,11403264,
JP,XA/JPN/EXTRA/S05.XA,17334272,
JP,XA/JPN/GAME/S00.XA,393216,73c460fa35021801
JP,XA/JPN/GAME/S01.XA,458752,d03571c5517fe4e2
JP,XA/JPN/GAME/S02.XA,491520,3e63c94484592a58
JP,XA/JPN/GAME/S03.XA,491520,46d8d2de8f221f89
JP,XA/JPN/GAME/S04.XA,557056,17b71e8cf3d5c4ba
JP,XA/JPN/GAME/S05.XA,557056,73dfbd5698e46eab
JP,XA/JPN/GAME/S06.XA,589824,816c4e20d2835ee2
JP,XA/JPN/GAME/S07.XA,622592,43c4aa5db5cf90c5
JP,XA/JPN/GAME/S08.XA,655360,ba9de1972bf9fd9b
JP,XA/JPN/GAME/S09.XA,655360,0e14295aeec285be
JP,XA/JPN/GAME/S10.XA,688128,0096d292efc5a93f
JP,XA/JPN/GAME/S11.XA,720896,c5501e58c98df2e9
JP,XA/JPN/GAME/S12.XA,753664,5f0d0f1364bb32f8
JP,XA/JPN/GAME/S13.XA,753664,216ae2e9c27d9b63
JP,XA/JPN/GAME/S14.XA,786432,4c67ea40c025d1c1
JP,XA/JPN/GAME/S15.XA,851968,a14096030bebac22
JP,XA/JPN/GAME/S16.XA,983040,bd21ebd9608d0d9b
JP,XA/JPN/GAME/S17.XA,6979584,
JP,XA/MUSIC/S00.XA,21331968,
PAL,XA/MUSIC/S00.XA,21331968,
US,XA/MUSIC/S00.XA,21331968,
JP,XA/MUSIC/S01.XA,5079040,
PAL,XA/MUSIC/S01.XA,5079040,
US,XA/MUSIC/S01.XA,5095424,
PAL,XA/SPN.XNF,1556,bdc514584023df1e
PAL,XA/SPN/EXTRA/S00.XA,2293760,
PAL,XA/SPN/EXTRA/S01.XA,4128768,
PAL,XA/SPN/EXTRA/S02.XA,12648448,
PAL,XA/SPN/GAME/S00.XA,393216,8e49dbc8841c1e77
PAL,XA/SPN/GAME/S01.XA,458752,d3154fda81c21ae0
PAL,XA/SPN/GAME/S02.XA,458752,6f4d564cee430c66
PAL,XA/SPN/GAME/S03.XA,524288,4a8e9bfe08a39c6d
PAL,XA/SPN/GAME/S04.XA,524288,cd1711b92b0f416a
