base,target,kind,a_start,a_size,b_start,b_size
US,JP,address-shift-only,2147599392,80,2147604668,80
US,JP,address-shift-only,2147602628,1356,2147607936,1356
US,JP,address-shift-only,2147603984,364,2147609292,364
US,JP,address-shift-only,2147610084,364,2147615392,364
US,JP,address-shift-only,2147611676,608,2147616984,608
US,JP,address-shift-only,2147612284,116,2147617592,116
US,JP,address-shift-only,2147612400,256,2147617708,256
US,JP,address-shift-only,2147612968,792,2147618276,792
US,JP,address-shift-only,2147614820,720,2147620128,720
US,JP,address-shift-only,2147620096,148,2147625404,148
US,JP,address-shift-only,2147620244,488,2147625552,488
US,JP,address-shift-only,2147620732,280,2147626040,280
US,JP,address-shift-only,2147621568,212,2147626876,212
US,JP,address-shift-only,2147622304,124,2147627568,124
US,JP,address-shift-only,2147622428,140,2147627692,140
US,JP,address-shift-only,2147624144,44,2147629676,44
US,JP,address-shift-only,2147625080,76,2147631600,76
US,JP,address-shift-only,2147625780,96,2147632316,96
US,JP,address-shift-only,2147626416,276,2147632952,276
US,JP,address-shift-only,2147626692,400,2147633228,400
US,JP,address-shift-only,2147627092,316,2147633628,316
US,JP,address-shift-only,2147629632,780,2147636168,780
US,JP,address-shift-only,2147633216,124,2147639640,124
US,JP,address-shift-only,2147633340,184,2147639764,184
US,JP,address-shift-only,2147635720,152,2147642152,152
US,JP,address-shift-only,2147638544,264,2147644800,264
US,JP,address-shift-only,2147640016,208,2147645964,208
US,JP,address-shift-only,2147642352,52,2147648468,52
US,JP,address-shift-only,2147642404,148,2147648520,148
US,JP,address-shift-only,2147642552,60,2147648668,60
US,JP,address-shift-only,2147648616,44,2147654732,44
US,JP,address-shift-only,2147648660,60,2147654776,60
US,JP,address-shift-only,2147649544,60,2147655660,60
US,JP,address-shift-only,2147649604,60,2147655720,60
US,JP,address-shift-only,2147658764,136,2147665424,136
US,JP,address-shift-only,2147673436,112,2147680576,112
US,JP,address-shift-only,2147673744,148,2147680884,148
US,JP,address-shift-only,2147673892,60,2147681032,60
US,JP,address-shift-only,2147673952,92,2147681092,92
US,JP,address-shift-only,2147674560,132,2147681700,132
US,JP,address-shift-only,2147674692,116,2147681832,116
US,JP,address-shift-only,2147684052,264,2147691220,264
US,JP,address-shift-only,2147684316,128,2147691484,128
US,JP,address-shift-only,2147684444,120,2147691612,120
US,JP,address-shift-only,2147684564,88,2147691732,88
US,JP,address-shift-only,2147684652,64,2147691820,64
US,JP,address-shift-only,2147685896,300,2147693064,300
US,JP,address-shift-only,2147686212,68,2147693380,68
US,JP,address-shift-only,2147686280,68,2147693448,68
US,JP,address-shift-only,2147686372,136,2147693540,136
US,JP,address-shift-only,2147686508,272,2147693676,272
US,JP,address-shift-only,2147687512,32,2147694680,32
US,JP,address-shift-only,2147689284,244,2147696452,244
US,JP,address-shift-only,2147689528,96,2147696696,96
US,JP,address-shift-only,2147726036,96,2147731548,96
US,JP,address-shift-only,2147729992,200,2147735504,200
US,JP,address-shift-only,2147730192,268,2147735704,268
US,JP,address-shift-only,2147734312,80,2147740352,80
US,JP,address-shift-only,2147734392,232,2147740432,232
US,JP,address-shift-only,2147734624,132,2147740664,132
US,JP,address-shift-only,2147735344,168,2147741384,168
US,JP,address-shift-only,2147736404,68,2147742556,68
US,JP,address-shift-only,2147742860,56,2147749544,56
US,JP,address-shift-only,2147742916,204,2147749600,204
US,JP,address-shift-only,2147753468,36,2147760088,36
US,JP,address-shift-only,2147753732,84,2147760352,84
US,JP,address-shift-only,2147753816,156,2147760436,156
US,JP,address-shift-only,2147754824,76,2147761444,76
US,JP,address-shift-only,2147755476,292,2147762096,292
US,JP,address-shift-only,2147755768,536,2147762388,536
US,JP,address-shift-only,2147756304,100,2147762924,100
US,JP,address-shift-only,2147756404,280,2147763024,280
US,JP,address-shift-only,2147756684,376,2147763304,376
US,JP,address-shift-only,2147757060,588,2147763680,588
US,JP,address-shift-only,2147757648,672,2147764268,672
US,JP,address-shift-only,2147758320,2104,2147764940,2104
US,JP,address-shift-only,2147766008,152,2147772628,152
US,JP,address-shift-only,2147766868,404,2147773488,404
US,JP,address-shift-only,2147767272,332,2147773892,332
US,JP,address-shift-only,2147767604,284,2147774224,284
US,JP,address-shift-only,2147767888,60,2147774508,60
