path,present_in
BANJ/B320I.EXE,JP
BANJ/BAN320.IKI,JP
SCES_021.05,PAL
SCPS_101.18,JP
SCUS_944.26,US
SPYRO2/DEMO2.STR,US;PAL
SPYRO2/SPEECH.STR,JP
XA/DCH.XNF,PAL
XA/DCH/EXTRA/S00.XA,PAL
XA/DCH/EXTRA/S01.XA,PAL
XA/DCH/EXTRA/S02.XA,PAL
XA/DCH/GAME/S00.XA,PAL
XA/DCH/GAME/S01.XA,PAL
XA/DCH/GAME/S02.XA,PAL
XA/DCH/GAME/S03.XA,PAL
XA/DCH/GAME/S04.XA,PAL
XA/DCH/GAME/S05.XA,PAL
XA/DCH/GAME/S06.XA,PAL
XA/DCH/GAME/S07.XA,PAL
XA/DCH/GAME/S08.XA,PAL
XA/ENG.XNF,US;PAL
XA/ENG/EXTRA/S00.XA,US;PAL
XA/ENG/EXTRA/S01.XA,US;PAL
XA/ENG/EXTRA/S02.XA,US;PAL
XA/ENG/EXTRA/S03.XA,US
XA/ENG/EXTRA/S04.XA,US
XA/ENG/EXTRA/S05.XA,US
XA/ENG/GAME/S00.XA,US;PAL
XA/ENG/GAME/S01.XA,US;PAL
XA/ENG/GAME/S02.XA,US;PAL
XA/ENG/GAME/S03.XA,US;PAL
XA/ENG/GAME/S04.XA,US;PAL
XA/ENG/GAME/S05.XA,US;PAL
XA/ENG/GAME/S06.XA,US;PAL
XA/ENG/GAME/S07.XA,US;PAL
XA/ENG/GAME/S08.XA,US;PAL
XA/ENG/GAME/S09.XA,US
XA/ENG/GAME/S10.XA,US
XA/ENG/GAME/S11.XA,US
XA/ENG/GAME/S12.XA,US
XA/ENG/GAME/S13.XA,US
XA/ENG/GAME/S14.XA,US
XA/ENG/GAME/S15.XA,US
XA/ENG/GAME/S16.XA,US
XA/ENG/GAME/S17.XA,US
XA/ENG/GAME/S18.XA,US
XA/ENG/GAME/S19.XA,US
XA/ENG/GAME/S20.XA,US
XA/FRN.XNF,PAL
XA/FRN/EXTRA/S00.XA,PAL
XA/FRN/EXTRA/S01.XA,PAL
XA/FRN/EXTRA/S02.XA,PAL
XA/FRN/GAME/S00.XA,PAL
XA/FRN/GAME/S01.XA,PAL
XA/FRN/GAME/S02.XA,PAL
XA/FRN/GAME/S03.XA,PAL
XA/FRN/GAME/S04.XA,PAL
XA/FRN/GAME/S05.XA,PAL
XA/FRN/GAME/S06.XA,PAL
XA/FRN/GAME/S07.XA,PAL
XA/FRN/GAME/S08.XA,PAL
XA/GRM.XNF,PAL
XA/GRM/EXTRA/S00.XA,PAL
XA/GRM/EXTRA/S01.XA,PAL
XA/GRM/EXTRA/S02.XA,PAL
XA/GRM/GAME/S00.XA,PAL
XA/GRM/GAME/S01.XA,PAL
XA/GRM/GAME/S02.XA,PAL
XA/GRM/GAME/S03.XA,PAL
XA/GRM/GAME/S04.XA,PAL
XA/GRM/GAME/S05.XA,PAL
XA/GRM/GAME/S06.XA,PAL
XA/GRM/GAME/S07.XA,PAL
XA/GRM/GAME/S08.XA,PAL
XA/ITL.XNF,PAL
XA/ITL/EXTRA/S00.XA,PAL
XA/ITL/EXTRA/S01.XA,PAL
XA/ITL/EXTRA/S02.XA,PAL
XA/ITL/GAME/S00.XA,PAL
XA/ITL/GAME/S01.XA,PAL
XA/ITL/GAME/S02.XA,PAL
XA/ITL/GAME/S03.XA,PAL
XA/ITL/GAME/S04.XA,PAL
XA/ITL/GAME/S05.XA,PAL
XA/ITL/GAME/S06.XA,PAL
XA/ITL/GAME/S07.XA,PAL
XA/ITL/GAME/S08.XA,PAL
XA/JPN.XNF,JP
XA/JPN/EXTRA/S00.XA,JP
XA/JPN/EXTRA/S01.XA,JP
XA/JPN/EXTRA/S02.XA,JP
XA/JPN/EXTRA/S03.XA,JP
XA/JPN/EXTRA/S04.XA,JP
XA/JPN/EXTRA/S05.XA,JP
XA/JPN/GAME/S00.XA,JP
XA/JPN/GAME/S01.XA,JP
XA/JPN/GAME/S02.XA,JP
XA/JPN/GAME/S03.XA,JP
XA/JPN/GAME/S04.XA,JP
XA/JPN/GAME/S05.XA,JP
XA/JPN/GAME/S06.XA,JP
XA/JPN/GAME/S07.XA,JP
XA/JPN/GAME/S08.XA,JP
XA/JPN/GAME/S09.XA,JP
XA/JPN/GAME/S10.XA,JP
XA/JPN/GAME/S11.XA,JP
XA/JPN/GAME/S12.XA,JP
XA/JPN/GAME/S13.XA,JP
XA/JPN/GAME/S14.XA,JP
XA/JPN/GAME/S15.XA,JP
XA/JPN/GAME/S16.XA,JP
XA/JPN/GAME/S17.XA,JP
XA/SPN.XNF,PAL
XA/SPN/EXTRA/S00.XA,PAL
XA/SPN/EXTRA/S01.XA,PAL
XA/SPN/EXTRA/S02.XA,PAL
XA/SPN/GAME/S00.XA,PAL
XA/SPN/GAME/S01.XA,PAL
XA/SPN/GAME/S02.XA,PAL
XA/SPN/GAME/S03.XA,PAL
XA/SPN/GAME/S04.XA,PAL
XA/SPN/GAME/S05.XA,PAL
XA/SPN/GAME/S06.XA,PAL
XA/SPN/GAME/S07.XA,PAL
XA/SPN/GAME/S08.XA,PAL
